iter	Passed	Remaining
399	31086	46630
400	31153	46535
401	31232	46460
402	31325	46404
403	31394	46314
404	31468	46231
405	31539	46144
406	31614	46061
407	31683	45972
408	31764	45899
409	31840	45819
410	31912	45733
411	31987	45652
412	32063	45572
413	32136	45488
414	32207	45400
415	32278	45314
416	32357	45238
417	32426	45149
418	32506	45074
419	32583	44995
420	32664	44923
421	32738	44840
422	32811	44756
423	32884	44672
424	32962	44596
425	33038	44516
426	33121	44446
427	33194	44362
428	33265	44276
429	33343	44199
430	33417	44117
431	33489	44031
432	33554	43937
433	33628	43856
434	33704	43776
435	33784	43702
436	33860	43623
437	33934	43541
438	34010	43462
439	34086	43382
440	34160	43300
441	34231	43214
442	34316	43147
443	34399	43076
444	34480	43004
445	34551	42917
446	34638	42853
447	34714	42772
448	34791	42695
449	34864	42612
450	34942	42535
451	35031	42471
452	35102	42386
453	35174	42302
454	35250	42223
455	35329	42147
456	35404	42067
457	35480	41988
458	35549	41900
459	35618	41812
460	35694	41733
461	35763	41647
462	35837	41565
463	35911	41483
464	35989	41407
465	36057	41319
466	36132	41239
467	36206	41157
468	36281	41077
469	36354	40995
470	36428	40914
471	36504	40835
472	36580	40756
473	36652	40673
474	36721	40586
475	36794	40504
476	36872	40427
477	36945	40346
478	37025	40271
479	37101	40193
480	37170	40106
481	37249	40031
482	37326	39953
483	37400	39872
484	37475	39794
485	37556	39720
486	37631	39640
487	37702	39557
488	37775	39475
489	37850	39395
490	37917	39308
491	37988	39223
492	38058	39139
493	38128	39055
494	38196	38968
495	38263	38880
496	38332	38795
497	38412	38721
498	38483	38637
499	38551	38551
500	38624	38470
501	38706	38398
502	38783	38321
503	38859	38242
504	38928	38157
505	39001	38076
506	39071	37992
507	39150	37917
508	39231	37843
509	39304	37763
510	39379	37683
511	39449	37600
512	39520	37517
513	39594	37437
514	39665	37354
515	39735	37270
516	39805	37187
517	39878	37107
518	39945	37020
519	40018	36940
520	40091	36859
521	40158	36773
522	40234	36696
523	40308	36615
524	40382	36536
525	40463	36463
526	40540	36386
527	40615	36307
528	40690	36228
529	40760	36146
530	40832	36065
531	40908	35987
532	40981	35906
533	41060	35831
534	41128	35747
535	41204	35669
536	41270	35583
537	41343	35503
538	41417	35423
539	41493	35346
540	41570	35269
541	41646	35192
542	41720	35112
543	41795	35034
544	41866	34952
545	41941	34874
546	42038	34813
547	42107	34731
548	42175	34646
549	42242	34561
550	42316	34483
551	42387	34401
552	42459	34320
553	42529	34238
554	42610	34164
555	42686	34087
556	42758	34007
557	42839	33934
558	42918	33858
559	42988	33776
560	43069	33703
561	43152	33631
562	43227	33552
563	43301	33474
564	43376	33395
565	43443	33311
566	43511	33228
567	43581	33146
568	43657	33069
569	43733	32992
570	43807	32913
571	43887	32838
572	43957	32756
573	44043	32687
574	44131	32618
575	44213	32545
576	44300	32476
577	44382	32404
578	44459	32327
579	44531	32247
580	44610	32171
581	44678	32088
582	44754	32011
583	44833	31935
584	44914	31862
585	44994	31788
586	45072	31712
587	45146	31632
588	45217	31552
589	45295	31476
590	45374	31401
591	45449	31323
592	45517	31240
593	45592	31162
594	45668	31085
595	45745	31008
596	45821	30931
597	45901	30856
598	45978	30780
599	46056	30704
600	46130	30626
601	46214	30553
602	46281	30470
603	46356	30392
604	46426	30311
605	46498	30231
606	46571	30152
607	46642	30071
608	46713	29991
609	46785	29912
610	46865	29837
611	46933	29755
612	47004	29675
613	47078	29596
614	47151	29517
615	47223	29437
616	47298	29360
617	47374	29283
618	47443	29201
619	47515	29122
620	47591	29045
621	47665	28967
622	47743	28891
623	47821	28815
624	47900	28740
625	47978	28664
626	48051	28585
627	48127	28508
628	48200	28429
629	48277	28353
630	48354	28277
631	48432	28200
632	48502	28120
633	48576	28042
634	48648	27963
635	48719	27883
636	48794	27805
637	48871	27729
638	48945	27651
639	49016	27571
640	49093	27495
641	49166	27416
642	49238	27337
643	49312	27259
644	49382	27179
645	49454	27100
646	49527	27021
647	49600	26943
648	49677	26866
649	49748	26787
650	49818	26707
651	49894	26630
652	49963	26550
653	50032	26469
654	50107	26392
655	50188	26318
656	50266	26242
657	50340	26164
658	50416	26088
659	50488	26009
660	50557	25928
661	50628	25849
662	50693	25767
663	50771	25691
664	50847	25614
665	50918	25535
666	50991	25457
667	51074	25384
668	51153	25309
669	51228	25232
670	51300	25153
671	51373	25074
672	51448	24998
673	51520	24919
674	51594	24841
675	51664	24762
676	51743	24686
677	51821	24611
678	51891	24532
679	51966	24454
680	52031	24372
681	52107	24296
682	52184	24220
683	52253	24140
684	52325	24061
685	52397	23983
686	52474	23907
687	52549	23830
688	52626	23754
689	52694	23674
690	52777	23600
691	52855	23525
692	52926	23446
693	53002	23369
694	53097	23301
695	53181	23228
696	53255	23151
697	53329	23073
698	53402	22996
699	53481	22920
700	53564	22847
701	53653	22775
702	53725	22697
703	53800	22620
704	53877	22544
705	53966	22473
706	54053	22401
707	54139	22328
708	54217	22252
709	54298	22178
710	54377	22102
711	54458	22028
712	54535	21951
713	54617	21877
714	54694	21801
715	54769	21724
716	54846	21647
717	54920	21570
718	54986	21489
719	55057	21411
720	55135	21335
721	55202	21255
722	55276	21177
723	55350	21100
724	55420	21021
725	55496	20944
726	55566	20866
727	55640	20788
728	55714	20711
729	55791	20635
730	55864	20557
731	55941	20481
732	56012	20402
733	56083	20324
734	56154	20246
735	56224	20167
736	56309	20094
737	56386	20017
738	56461	19940
739	56538	19865
740	56615	19788
741	56697	19714
742	56776	19638
743	56867	19567
744	56944	19491
745	57024	19415
746	57104	19340
747	57176	19262
748	57256	19187
749	57331	19110
750	57416	19036
751	57493	18960
752	57563	18882
753	57634	18803
754	57700	18724
755	57770	18645
756	57845	18568
757	57920	18491
758	57987	18412
759	58060	18334
760	58133	18257
761	58205	18179
762	58281	18103
763	58364	18028
764	58437	17951
765	58511	17874
766	58582	17796
767	58659	17720
768	58732	17642
769	58805	17565
770	58879	17488
771	58952	17410
772	59028	17334
773	59098	17256
774	59172	17179
775	59247	17102
776	59323	17025
777	59404	16950
778	59480	16874
779	59560	16799
780	59639	16723
781	59711	16645
782	59780	16567
783	59855	16490
784	59934	16415
785	60006	16337
786	60083	16261
787	60155	16184
788	60240	16109
789	60312	16032
790	60391	15956
791	60466	15880
792	60534	15801
793	60608	15724
794	60682	15647
795	60754	15570
796	60818	15490
797	60891	15413
798	60965	15336
799	61037	15259
800	61114	15183
801	61200	15109
802	61269	15031
803	61342	14954
804	61421	14878
805	61501	14803
806	61586	14728
807	61664	14652
808	61738	14576
809	61813	14499
810	61877	14420
811	61942	14341
812	62012	14263
813	62081	14185
814	62162	14110
815	62234	14033
816	62302	13955
817	62373	13877
818	62453	13802
819	62528	13725
820	62601	13648
821	62673	13571
822	62746	13494
823	62824	13418
824	62893	13341
825	62967	13264
826	63036	13186
827	63112	13110
828	63185	13033
829	63261	12957
830	63329	12879
831	63400	12802
832	63470	12724
833	63544	12647
834	63616	12570
835	63689	12494
836	63767	12418
837	63837	12340
838	63910	12264
839	63979	12186
840	64051	12109
841	64133	12034
842	64202	11957
843	64273	11879
844	64354	11804
845	64424	11727
846	64513	11653
847	64588	11577
848	64666	11501
849	64753	11427
850	64829	11350
851	64898	11273
852	64970	11196
853	65036	11118
854	65111	11042
855	65177	10964
856	65248	10887
857	65318	10810
858	65397	10734
859	65460	10656
860	65534	10579
861	65600	10502
862	65671	10425
863	65750	10349
864	65821	10272
865	65900	10197
866	65968	10119
867	66036	10042
868	66115	9966
869	66192	9890
870	66268	9814
871	66340	9738
872	66417	9662
873	66488	9585
874	66562	9508
875	66638	9432
876	66709	9355
877	66780	9279
878	66848	9202
879	66923	9125
880	66988	9048
881	67054	8970
882	67125	8894
883	67196	8817
884	67266	8740
885	67344	8665
886	67423	8589
887	67499	8513
888	67581	8438
889	67656	8362
890	67735	8286
891	67810	8210
892	67893	8134
893	67962	8058
894	68033	7981
895	68113	7906
896	68183	7829
897	68260	7753
898	68331	7676
899	68403	7600
900	68480	7524
901	68559	7448
902	68625	7371
903	68695	7295
904	68768	7218
905	68843	7142
906	68918	7066
907	68992	6990
908	69065	6914
909	69138	6837
910	69215	6762
911	69288	6685
912	69359	6609
913	69432	6533
914	69504	6456
915	69574	6380
916	69647	6303
917	69718	6227
918	69788	6151
919	69861	6074
920	69943	5999
921	70020	5923
922	70104	5848
923	70186	5772
924	70254	5696
925	70322	5619
926	70388	5543
927	70463	5467
928	70535	5390
929	70612	5314
930	70681	5238
931	70746	5161
932	70824	5085
933	70902	5010
934	70978	4934
935	71049	4858
936	71118	4781
937	71189	4705
938	71266	4629
939	71339	4553
940	71412	4477
941	71486	4401
942	71559	4325
943	71633	4249
944	71705	4173
945	71778	4097
946	71852	4021
947	71930	3945
948	72007	3869
949	72076	3793
950	72143	3717
951	72219	3641
952	72292	3565
953	72358	3488
954	72424	3412
955	72502	3336
956	72571	3260
957	72637	3184
958	72709	3108
959	72776	3032
960	72846	2956
961	72912	2880
962	72984	2804
963	73051	2728
964	73126	2652
965	73197	2576
966	73271	2500
967	73337	2424
968	73407	2348
969	73475	2272
970	73548	2196
971	73626	2120
972	73698	2045
973	73775	1969
974	73845	1893
975	73917	1817
976	73981	1741
977	74051	1665
978	74119	1589
979	74193	1514
980	74265	1438
981	74342	1362
982	74418	1287
983	74487	1211
984	74553	1135
985	74618	1059
986	74691	983
987	74767	908
988	74843	832
989	74911	756
990	74980	680
991	75054	605
992	75128	529
993	75201	453
994	75271	378
995	75342	302
996	75415	226
997	75485	151
998	75550	75
999	75622	0
