iter	RMSE
422	1.749990296
423	1.749518157
424	1.749348503
425	1.748989482
426	1.748778511
427	1.748201621
428	1.747265172
429	1.746327155
430	1.746135436
431	1.745851257
432	1.745078192
433	1.744541744
434	1.744258124
435	1.74366266
436	1.743356764
437	1.743160849
438	1.742889083
439	1.742848065
440	1.742646291
441	1.742192264
442	1.741522834
443	1.741367896
444	1.740986708
445	1.740528635
446	1.740214486
447	1.740081092
448	1.739212546
449	1.73863973
450	1.738337168
451	1.737760017
452	1.737501177
453	1.737038301
454	1.736695138
455	1.736229772
456	1.735839268
457	1.73504008
458	1.734704204
459	1.733921317
460	1.733691115
461	1.733538899
462	1.733216873
463	1.732792903
464	1.731968671
465	1.731920685
466	1.731830125
467	1.73174396
468	1.731426398
469	1.731212021
470	1.730774684
471	1.730482679
472	1.730130908
473	1.729569399
474	1.729318978
475	1.729055153
476	1.728862474
477	1.728542665
478	1.727795564
479	1.727615551
480	1.727017976
481	1.726541712
482	1.726380812
483	1.726085891
484	1.725942585
485	1.725292221
486	1.724813289
487	1.724337659
488	1.723854185
489	1.723695943
490	1.722880142
491	1.722557272
492	1.722400293
493	1.72196058
494	1.721726809
495	1.721434756
496	1.720632181
497	1.720129337
498	1.718673267
499	1.718242052
500	1.718065126
501	1.717935061
502	1.71787385
503	1.717634534
504	1.717510783
505	1.717249784
506	1.717065635
507	1.716894753
508	1.716742039
509	1.716444317
510	1.71620217
511	1.715925497
512	1.715589747
513	1.715348404
514	1.715001207
515	1.714509115
516	1.714290062
517	1.714089864
518	1.713925663
519	1.713662052
520	1.71320592
521	1.713132558
522	1.712934376
523	1.712642076
524	1.712519022
525	1.712487414
526	1.712390703
527	1.71217354
528	1.711776056
529	1.711627123
530	1.710907515
531	1.710862948
532	1.710434502
533	1.710333622
534	1.710094262
535	1.709632757
536	1.709137757
537	1.708958144
538	1.708625825
539	1.708297638
540	1.708135488
541	1.707884528
542	1.707825484
543	1.707429414
544	1.707148706
545	1.707020571
546	1.706886827
547	1.706851908
548	1.706822721
549	1.706705934
550	1.706563852
551	1.706539439
552	1.706268596
553	1.705895652
554	1.705544166
555	1.705098727
556	1.7049422
557	1.704566922
558	1.7041912
559	1.703991332
560	1.703692922
561	1.70341696
562	1.702842064
563	1.702607025
564	1.702177217
565	1.70201025
566	1.701949857
567	1.701138528
568	1.701045758
569	1.700329184
570	1.699884807
571	1.699478371
572	1.698768949
573	1.698546182
574	1.698324889
575	1.698150191
576	1.697795719
577	1.697415332
578	1.697012701
579	1.696811078
580	1.69667491
581	1.696542224
582	1.696126609
583	1.69585808
584	1.695581834
585	1.695271756
586	1.695130438
587	1.694800559
588	1.694084499
589	1.693925738
590	1.69370296
591	1.693532203
592	1.692696882
593	1.692328989
594	1.692117948
595	1.691884999
596	1.691597253
597	1.691504561
598	1.691289404
599	1.69103527
600	1.690890767
601	1.690763885
602	1.690489716
603	1.690216574
604	1.689956748
605	1.68976231
606	1.689601332
607	1.689435086
608	1.689350537
609	1.686655186
610	1.686589368
611	1.686212611
612	1.685933314
613	1.685744527
614	1.6853599
615	1.685167801
616	1.685018549
617	1.68450053
618	1.68431434
619	1.684286025
620	1.683930325
621	1.683615053
622	1.683542726
623	1.683180052
624	1.683046492
625	1.682935768
626	1.68277205
627	1.682557157
628	1.68241558
629	1.681935234
630	1.681725181
631	1.681320613
632	1.680995723
633	1.680723343
634	1.68034735
635	1.680026128
636	1.679774182
637	1.679475502
638	1.678930617
639	1.678570718
640	1.678375117
641	1.677572511
642	1.677179366
643	1.677089597
644	1.67628191
645	1.676043054
646	1.675863724
647	1.675768453
648	1.675502075
649	1.675255062
650	1.675148592
651	1.675031218
652	1.674425875
653	1.674319989
654	1.674009021
655	1.673872494
656	1.673724847
657	1.673421046
658	1.673321507
659	1.67313335
660	1.672900405
661	1.67231989
662	1.671759363
663	1.671631142
664	1.671174952
665	1.670904264
666	1.670583402
667	1.670315516
668	1.670210108
669	1.670059711
670	1.669923004
671	1.669536752
672	1.669374949
673	1.669033629
674	1.668528369
675	1.668410953
676	1.668256334
677	1.668154455
678	1.667867333
679	1.667612064
680	1.667478226
681	1.667143537
682	1.666818916
683	1.666310218
684	1.665981688
685	1.665923994
686	1.665859003
687	1.665601355
688	1.665397031
689	1.66521208
690	1.665040598
691	1.664691896
692	1.664358286
693	1.664261764
694	1.664053109
695	1.66396471
696	1.663824976
697	1.663586863
698	1.66311251
699	1.662947033
700	1.662764096
701	1.662486638
702	1.662445461
703	1.662390879
704	1.662032445
705	1.661971406
706	1.661690359
707	1.661385516
708	1.661228693
709	1.661111946
710	1.661012823
711	1.660839399
712	1.660772646
713	1.660642455
714	1.660545755
715	1.660452806
716	1.660331135
717	1.660150723
718	1.658565362
719	1.658508854
720	1.65843602
721	1.658281495
722	1.657956036
723	1.657636338
724	1.657523602
725	1.656926753
726	1.656686058
727	1.656258244
728	1.656050893
729	1.655753491
730	1.655380883
731	1.655253185
732	1.655089494
733	1.655027338
734	1.65485478
735	1.654495252
736	1.654103524
737	1.653808
738	1.65376514
739	1.653490256
740	1.653008333
741	1.652836341
742	1.651370722
743	1.651064488
744	1.650762659
745	1.650678668
746	1.650509533
747	1.650175578
748	1.650147764
749	1.65001837
750	1.649776907
751	1.649653825
752	1.649244645
753	1.649100727
754	1.648763316
755	1.648499677
756	1.648437337
757	1.648231154
758	1.647548614
759	1.647532532
760	1.64731417
761	1.647178474
762	1.647059953
763	1.646888302
764	1.646737328
765	1.646492953
766	1.646406137
767	1.646105196
768	1.645982022
769	1.645756449
770	1.645703297
771	1.645505865
772	1.645431069
773	1.645203027
774	1.645060733
775	1.644875173
776	1.644731387
777	1.644442884
778	1.64413269
779	1.643889159
780	1.643626509
781	1.643467501
782	1.643378059
783	1.64322565
784	1.643052696
785	1.642861942
786	1.642728451
787	1.642256144
788	1.641946265
789	1.641510166
790	1.641358214
791	1.641057066
792	1.641001039
793	1.640840011
794	1.640751725
795	1.640744939
796	1.640515402
797	1.639981775
798	1.639961282
799	1.639923686
800	1.63966163
801	1.639327298
802	1.638934859
803	1.638828197
804	1.638702074
805	1.638164858
806	1.637935029
807	1.637877781
808	1.63756222
809	1.637216709
810	1.637160351
811	1.637047509
812	1.636805662
813	1.636753626
814	1.636573248
815	1.636202619
816	1.636055913
817	1.636005481
818	1.635859617
819	1.635398903
820	1.635294267
821	1.635055469
822	1.634771567
823	1.634512289
824	1.634447794
825	1.634262589
826	1.634046774
827	1.633926788
828	1.633814733
829	1.633745701
830	1.63363091
831	1.633433175
832	1.633189229
833	1.63290031
834	1.632787393
835	1.632764886
836	1.632648462
837	1.632564049
838	1.632372147
839	1.632232389
840	1.631700417
841	1.631511593
842	1.63130206
843	1.631154515
844	1.631099957
845	1.630904907
846	1.630865486
847	1.630558999
848	1.630506744
849	1.630263957
850	1.630000704
851	1.629904295
852	1.62942221
853	1.628768185
854	1.628489924
855	1.628444311
856	1.628078139
857	1.627901127
858	1.62766309
859	1.62757125
860	1.627326895
861	1.627168298
862	1.627122757
863	1.626874113
864	1.626629216
865	1.626474042
866	1.626456038
867	1.626260018
868	1.626007656
869	1.625808369
870	1.625596016
871	1.625553433
872	1.625452496
873	1.625393639
874	1.625360033
875	1.624798647
876	1.624707021
877	1.624618338
878	1.624463558
879	1.624366158
880	1.624201793
881	1.62415916
882	1.623998763
883	1.623915809
884	1.623741433
885	1.623692978
886	1.623684851
887	1.623489149
888	1.623337036
889	1.623232702
890	1.623143492
891	1.622961507
892	1.622831356
893	1.622673637
894	1.622609548
895	1.622300185
896	1.622177641
897	1.621854714
898	1.62167367
899	1.621615197
900	1.621307893
901	1.621025695
902	1.620925631
903	1.620764348
904	1.620673727
905	1.620323086
906	1.620261435
907	1.620121561
908	1.620016105
909	1.619851883
910	1.619758358
911	1.61960669
912	1.619549325
913	1.618946679
914	1.6188312
915	1.618594869
916	1.618284088
917	1.618155109
918	1.618046293
919	1.61787329
920	1.617515183
921	1.617241084
922	1.617057819
923	1.616969981
924	1.616913435
925	1.616678819
926	1.616454134
927	1.6158662
928	1.615670714
929	1.61542971
930	1.615383503
931	1.615314575
932	1.615205861
933	1.615169208
934	1.615076526
935	1.61483618
936	1.614800967
937	1.614676745
938	1.614555796
939	1.614473409
940	1.614359398
941	1.614259775
942	1.614015386
943	1.613949705
944	1.613697204
945	1.613452931
946	1.613398583
947	1.613147947
948	1.612977675
949	1.612928153
950	1.612774813
951	1.612722171
952	1.61253916
953	1.612403573
954	1.612265497
955	1.612064526
956	1.612029664
957	1.61186343
958	1.611801057
959	1.611554312
960	1.611461853
961	1.611408827
962	1.611389053
963	1.611258075
964	1.611201021
965	1.61111905
966	1.610898295
967	1.610836671
968	1.610699512
969	1.610566649
970	1.609965331
971	1.609840867
972	1.609807253
973	1.609710764
974	1.609584796
975	1.609423005
976	1.609172188
977	1.609046563
978	1.608851778
979	1.608684002
980	1.60834467
981	1.608303417
982	1.607985172
983	1.607558903
984	1.607433274
985	1.607399177
986	1.607134304
987	1.607034883
988	1.606942313
989	1.60684251
990	1.606691387
991	1.606222845
992	1.606111494
993	1.606004572
994	1.605962905
995	1.605952182
996	1.605925321
997	1.605669134
998	1.605617048
999	1.605476676
